Data properties:
 
Recording date: 21/07/2015
Recording time : 14:30:52:828 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: AnaesExpert007
Recording: AnaesExpert007video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
12	1	704	585	0.692	0.728	685.089	3.741	0	718	583	0.430	0.769	688.683	3.634	0
32	2	704	588	0.692	0.728	682.762	3.728	0	718	578	0.430	0.769	691.345	3.647	0
52	3	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
72	4	700	614	0.692	0.728	682.762	3.725	0	721	596	0.429	0.769	691.345	3.644	0
92	5	712	610	0.692	0.728	682.762	3.655	0	711	545	0.429	0.769	691.345	3.659	0
112	6	711	599	0.692	0.728	682.762	3.687	0	696	542	0.429	0.769	691.345	3.716	0
132	7	711	593	0.692	0.728	683.376	3.655	0	684	541	0.429	0.769	689.781	3.737	0
152	8	705	624	0.692	0.728	683.376	3.688	0	713	587	0.429	0.769	689.781	3.576	0
172	9	706	624	0.692	0.729	683.376	3.667	0	711	553	0.429	0.769	689.781	3.589	0
192	10	714	585	0.692	0.729	683.376	3.566	0	716	602	0.429	0.769	689.781	3.611	0
211	11	736	586	0.692	0.729	683.376	3.625	0	728	596	0.429	0.769	689.781	3.578	0
231	12	738	587	0.692	0.729	683.632	3.586	0	730	586	0.429	0.769	693.394	3.608	0
251	13	676	441	0.692	0.728	683.632	3.648	0	684	421	0.430	0.768	693.394	3.601	0
271	14	643	404	0.693	0.727	683.632	3.566	0	658	406	0.431	0.767	693.394	3.588	0
291	15	662	418	0.693	0.727	683.632	3.548	0	646	411	0.431	0.767	693.394	3.550	0
311	16	657	404	0.693	0.727	683.632	3.509	0	667	401	0.431	0.767	693.394	3.574	0
331	17	655	412	0.694	0.727	682.452	3.478	0	664	406	0.431	0.767	691.417	3.546	0
351	18	667	399	0.694	0.727	682.452	3.479	0	648	420	0.432	0.766	691.417	3.540	0
371	19	686	584	0.695	0.727	682.452	3.353	0	-1280	-1024	0.695	0.727	-1.000	-1.000	4
391	20	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
411	21	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
431	22	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
451	23	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
471	24	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
490	25	-1280	-1024	0.703	0.728	-1.000	-1.000	4	-1280	-1024	0.439	0.764	-1.000	-1.000	4
510	26	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
530	27	-1280	-1024	0.442	0.763	-1.000	-1.000	4	596	368	0.442	0.763	688.916	3.351	0
550	28	599	347	0.707	0.729	686.536	3.309	0	570	401	0.443	0.763	688.916	3.306	0
570	29	591	381	0.708	0.729	686.536	3.283	0	581	394	0.445	0.763	688.916	3.348	0
590	30	592	393	0.710	0.730	680.670	3.256	0	589	388	0.446	0.763	688.588	3.331	0
610	31	590	388	0.712	0.730	680.670	3.325	0	584	360	0.448	0.764	688.588	3.308	0
630	32	408	490	0.715	0.732	680.670	3.319	0	402	514	0.452	0.765	688.588	3.362	0
650	33	390	468	0.718	0.733	680.670	3.277	0	366	495	0.454	0.765	688.588	3.425	0
670	34	400	452	0.720	0.734	680.670	3.334	0	362	507	0.457	0.765	688.588	3.432	0
690	35	396	435	0.723	0.734	680.335	3.319	0	356	493	0.459	0.765	690.962	3.450	0
710	36	390	472	0.725	0.735	680.335	3.319	0	381	528	0.462	0.764	690.962	3.445	0
730	37	393	503	0.727	0.734	680.335	3.457	0	376	514	0.464	0.763	690.962	3.446	0
