Data properties:
 
Recording date: 22/07/2015
Recording time : 10:01:34:921 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: Lay001
Recording: Lay001_video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
8	1	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
28	2	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
48	3	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
68	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
87	5	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
107	6	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
127	7	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
147	8	-1280	-1024	0.707	0.671	-1.000	-1.000	4	-1280	-1024	0.431	0.666	-1.000	-1.000	4
167	9	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
187	10	-1280	-1024	0.711	0.670	-1.000	-1.000	4	-1280	-1024	0.434	0.663	-1.000	-1.000	4
207	11	383	598	0.712	0.670	699.275	4.632	0	410	656	0.435	0.662	701.936	4.729	0
227	12	376	635	0.713	0.670	699.275	4.448	0	381	643	0.436	0.661	701.936	4.689	0
247	13	388	668	0.713	0.670	699.275	4.426	0	402	672	0.436	0.660	701.936	4.716	0
267	14	371	684	0.713	0.670	699.275	4.576	0	412	637	0.437	0.660	701.936	4.770	0
287	15	374	703	0.713	0.670	698.361	4.469	0	404	647	0.436	0.660	700.007	4.748	0
307	16	385	646	0.713	0.670	698.361	4.432	0	368	575	0.435	0.659	700.007	4.915	0
327	17	372	635	0.711	0.670	698.361	4.518	0	370	614	0.434	0.660	700.007	4.681	0
347	18	373	621	0.710	0.670	698.361	4.478	0	372	640	0.433	0.660	700.007	4.531	0
367	19	381	655	0.708	0.670	698.361	4.114	0	371	665	0.430	0.661	700.007	4.476	0
386	20	374	647	0.705	0.670	698.489	4.122	0	371	691	0.428	0.662	699.459	4.418	0
406	21	381	599	0.703	0.671	698.489	4.134	0	363	654	0.426	0.663	699.459	4.303	0
426	22	376	647	0.700	0.671	698.489	4.131	0	364	675	0.423	0.664	699.459	4.401	0
446	23	543	468	0.695	0.670	698.489	4.465	0	597	459	0.419	0.664	699.459	4.184	0
466	24	639	354	0.691	0.668	698.489	3.911	0	653	339	0.415	0.664	699.459	4.093	0
486	25	702	304	0.688	0.668	701.507	3.991	0	710	261	0.412	0.665	702.242	4.086	0
506	26	652	318	0.685	0.669	701.507	3.927	0	660	278	0.409	0.666	702.242	4.012	0
526	27	658	294	0.682	0.669	701.507	3.966	0	669	311	0.407	0.667	702.242	4.028	0
546	28	639	305	0.680	0.669	701.507	3.789	0	652	297	0.405	0.668	702.242	4.018	0
566	29	623	307	0.678	0.669	701.507	3.938	0	650	283	0.403	0.669	702.242	3.894	0
586	30	618	310	0.676	0.669	700.504	3.909	0	646	290	0.401	0.670	705.065	3.905	0
606	31	631	382	0.674	0.671	700.504	3.758	0	629	387	0.400	0.671	705.065	3.861	0
626	32	629	425	0.673	0.672	700.504	3.774	0	617	458	0.399	0.673	705.065	4.040	0
646	33	629	485	0.672	0.672	700.504	3.897	0	620	461	0.397	0.675	705.065	3.970	0
666	34	613	403	0.671	0.673	700.504	3.786	0	619	472	0.397	0.676	705.065	4.102	0
686	35	612	432	0.670	0.674	705.023	3.855	0	620	473	0.396	0.677	707.608	4.114	0
705	36	672	456	0.670	0.675	705.023	4.168	0	624	447	0.395	0.678	707.608	3.983	0
725	37	624	402	0.669	0.675	705.023	3.823	0	589	414	0.394	0.678	707.608	4.085	0
745	38	565	482	0.669	0.675	705.023	3.985	0	589	415	0.395	0.678	707.608	4.028	0
765	39	346	515	0.671	0.676	705.023	3.980	0	291	514	0.397	0.678	707.608	4.293	0
785	40	278	507	0.671	0.676	708.298	3.992	0	250	510	0.397	0.678	703.032	4.328	0
805	41	326	439	0.671	0.676	708.298	4.236	0	295	492	0.397	0.678	703.032	4.146	0
825	42	326	491	0.671	0.676	708.298	4.035	0	317	526	0.397	0.678	703.032	4.167	0
845	43	309	524	0.672	0.676	708.298	4.135	0	296	524	0.398	0.677	703.032	4.168	0
865	44	329	483	0.672	0.676	708.298	4.272	0	271	499	0.398	0.677	703.032	4.223	0
885	45	326	500	0.673	0.676	703.240	4.171	0	270	508	0.399	0.677	707.510	4.266	0
905	46	330	498	0.674	0.677	703.240	4.346	0	289	518	0.400	0.677	707.510	4.303	0
925	47	304	482	0.675	0.677	703.240	4.302	0	317	523	0.400	0.678	707.510	4.371	0
945	48	308	459	0.675	0.678	703.240	4.625	0	301	488	0.401	0.678	707.510	4.513	0
965	49	337	525	0.676	0.679	703.240	4.343	0	290	499	0.402	0.679	707.510	4.445	0
984	50	325	508	0.677	0.679	706.317	4.420	0	302	494	0.403	0.680	705.906	4.507	0
1004	51	341	412	0.677	0.680	706.317	4.575	0	307	542	0.403	0.680	705.906	4.538	0
1024	52	298	480	0.678	0.680	706.317	4.557	0	247	530	0.404	0.681	705.906	4.422	0
1044	53	282	505	0.679	0.681	706.317	4.586	0	261	521	0.405	0.681	705.906	4.543	0
1064	54	318	557	0.679	0.681	706.317	4.534	0	286	551	0.405	0.681	705.906	4.528	0
1084	55	319	587	0.679	0.681	708.888	4.559	0	260	545	0.405	0.681	704.827	4.492	0
1104	56	275	484	0.680	0.681	708.888	4.592	0	278	562	0.406	0.681	704.827	4.653	0
1124	57	291	533	0.680	0.681	708.888	4.558	0	272	545	0.406	0.681	704.827	4.584	0
1144	58	283	503	0.680	0.680	708.888	4.510	0	267	530	0.407	0.681	704.827	4.596	0
1164	59	268	489	0.680	0.680	708.888	4.584	0	262	540	0.407	0.681	704.827	4.701	0
1184	60	276	508	0.679	0.679	708.426	4.551	0	254	526	0.405	0.681	709.310	4.703	0
1204	61	506	488	0.679	0.679	708.426	4.714	0	496	542	0.405	0.681	709.310	4.798	0
1224	62	462	447	0.679	0.678	708.426	4.752	0	488	489	0.405	0.680	709.310	4.931	0
1244	63	495	482	0.680	0.677	708.426	4.923	0	472	515	0.405	0.679	709.310	4.771	0
1264	64	499	505	0.680	0.677	708.426	4.961	0	463	500	0.406	0.679	709.310	4.932	0
1283	65	501	495	0.680	0.676	708.286	4.997	0	455	518	0.406	0.678	706.213	4.858	0
