Data properties:
 
Recording date: 22/07/2015
Recording time : 15:25:38:171 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: Lay002
Recording: Lay002video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
6	1	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
26	2	-1280	-1024	0.700	0.560	-1.000	-1.000	4	-1280	-1024	0.395	0.568	-1.000	-1.000	4
46	3	713	411	0.700	0.560	609.170	5.287	0	716	423	0.395	0.568	612.577	5.192	0
66	4	702	426	0.700	0.560	609.170	5.124	0	721	422	0.395	0.568	612.577	5.215	0
86	5	699	409	0.700	0.560	609.170	5.161	0	710	407	0.395	0.568	612.577	5.120	0
105	6	705	374	0.700	0.560	609.170	5.125	0	732	413	0.395	0.568	612.577	5.233	0
125	7	699	373	0.700	0.560	609.556	5.141	0	732	411	0.395	0.568	610.989	5.195	0
145	8	689	383	0.700	0.560	609.556	5.269	0	711	434	0.395	0.568	610.989	5.130	0
165	9	712	402	0.699	0.560	609.556	5.238	0	723	408	0.395	0.568	610.989	5.134	0
185	10	697	395	0.699	0.560	609.556	5.189	0	714	417	0.395	0.568	610.989	5.150	0
205	11	698	395	0.699	0.560	609.556	5.319	0	726	413	0.394	0.568	610.989	5.100	0
225	12	697	392	0.699	0.560	610.831	5.306	0	724	417	0.394	0.568	610.875	5.102	0
245	13	706	394	0.699	0.560	610.831	5.222	0	713	415	0.395	0.568	610.875	5.133	0
265	14	698	401	0.699	0.560	610.831	5.234	0	751	405	0.395	0.568	610.875	5.233	0
285	15	667	377	0.700	0.560	610.831	5.300	0	719	425	0.395	0.569	610.875	5.196	0
305	16	707	365	0.700	0.560	610.831	5.084	0	723	414	0.395	0.569	610.875	5.045	0
325	17	694	360	0.700	0.560	611.276	5.099	0	734	413	0.395	0.569	610.909	5.078	0
345	18	695	402	0.700	0.560	611.276	4.987	0	714	412	0.395	0.569	610.909	4.939	0
365	19	696	411	0.700	0.560	611.276	4.954	0	699	424	0.396	0.569	610.909	4.769	0
384	20	730	405	0.700	0.560	611.276	4.900	0	712	428	0.396	0.568	610.909	4.775	0
404	21	-1280	-1024	0.396	0.568	-1.000	-1.000	4	695	444	0.396	0.568	610.909	4.767	0
424	22	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
444	23	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
464	24	-1280	-1024	0.397	0.566	-1.000	-1.000	4	790	838	0.397	0.566	610.909	3.333	0
484	25	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
504	26	-1280	-1024	0.398	0.567	-1.000	-1.000	4	678	403	0.398	0.567	607.598	4.571	0
524	27	-1280	-1024	0.399	0.567	-1.000	-1.000	4	655	408	0.399	0.567	611.783	4.563	0
544	28	-1280	-1024	0.399	0.567	-1.000	-1.000	4	635	421	0.399	0.567	612.553	4.530	0
564	29	647	352	0.704	0.559	612.553	4.836	0	643	420	0.399	0.568	612.553	4.442	0
584	30	648	447	0.704	0.560	607.336	4.508	0	650	437	0.399	0.568	612.553	4.383	0
604	31	558	505	0.705	0.561	612.553	4.597	0	567	490	0.401	0.569	612.553	4.390	0
624	32	529	523	0.706	0.561	608.475	4.496	0	533	495	0.401	0.569	612.553	4.401	0
644	33	501	531	0.706	0.561	609.888	4.516	0	498	505	0.401	0.569	609.593	4.389	0
664	34	542	512	0.706	0.561	609.888	4.530	0	569	511	0.402	0.569	609.593	4.537	0
684	35	541	518	0.706	0.561	609.888	4.609	0	532	481	0.402	0.569	609.593	4.476	0
703	36	449	532	0.708	0.561	609.888	4.697	0	430	517	0.404	0.569	609.593	4.458	0
723	37	327	538	0.710	0.561	609.888	4.604	0	328	527	0.405	0.569	609.593	4.443	0
743	38	286	544	0.710	0.561	610.183	4.634	0	261	518	0.406	0.569	611.276	4.440	0
763	39	335	534	0.710	0.562	610.183	4.686	0	346	514	0.406	0.569	611.276	4.609	0
783	40	307	532	0.711	0.562	610.183	4.733	0	331	531	0.407	0.569	611.276	4.572	0
803	41	328	543	0.711	0.562	610.183	4.760	0	327	534	0.407	0.569	611.276	4.527	0
823	42	334	547	0.712	0.562	610.183	4.833	0	337	522	0.407	0.569	611.276	4.613	0
843	43	328	554	0.712	0.562	607.474	4.854	0	338	535	0.408	0.569	609.937	4.574	0
863	44	250	553	0.713	0.562	607.474	4.846	0	265	529	0.409	0.569	609.937	4.662	0
883	45	259	567	0.713	0.562	607.474	4.943	0	276	531	0.409	0.569	609.937	4.746	0
903	46	261	551	0.713	0.562	607.474	4.957	0	272	514	0.409	0.569	609.937	4.809	0
923	47	251	538	0.713	0.562	607.474	5.052	0	258	521	0.408	0.569	609.937	4.807	0
943	48	251	540	0.712	0.562	607.704	5.094	0	261	520	0.408	0.569	607.955	4.789	0
963	49	255	564	0.712	0.562	607.704	5.032	0	278	525	0.408	0.569	607.955	4.858	0
982	50	244	568	0.712	0.562	607.704	5.004	0	265	521	0.408	0.569	607.955	4.819	0
1002	51	407	549	0.710	0.562	607.704	5.053	0	440	532	0.406	0.569	607.955	4.906	0
1022	52	455	555	0.710	0.561	607.704	5.123	0	479	543	0.406	0.568	607.955	4.951	0
1042	53	507	550	0.710	0.561	608.382	5.134	0	522	540	0.406	0.568	610.396	4.980	0
1062	54	461	544	0.710	0.560	608.382	5.106	0	461	528	0.406	0.567	610.396	4.982	0
1082	55	460	530	0.710	0.560	608.382	5.199	0	482	510	0.406	0.567	610.396	5.020	0
1102	56	462	545	0.710	0.559	608.382	5.229	0	484	527	0.406	0.567	610.396	5.058	0
1122	57	466	540	0.710	0.558	608.382	5.207	0	471	529	0.406	0.567	610.396	5.055	0
1142	58	466	535	0.710	0.558	609.220	5.227	0	482	526	0.406	0.567	609.707	5.046	0
1162	59	485	552	0.710	0.556	609.220	5.250	0	526	511	0.405	0.566	609.707	5.076	0
1182	60	613	547	0.708	0.555	609.220	5.338	0	630	515	0.404	0.565	609.707	5.038	0
1202	61	620	393	0.708	0.554	609.220	5.600	0	634	532	0.404	0.564	609.707	5.117	0
1222	62	675	713	0.707	0.553	609.220	5.510	0	641	497	0.404	0.564	609.707	5.165	0
