Data properties:
 
Recording date: 24/07/2015
Recording time : 15:28:48:125 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: Lay007
Recording: Lay007Video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
10	1	-1280	-1024	0.639	0.751	-1.000	-1.000	4	-1280	-1024	0.328	0.770	-1.000	-1.000	4
30	2	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
50	3	684	412	0.642	0.752	647.780	5.017	0	710	413	0.332	0.769	651.692	4.813	0
70	4	694	421	0.645	0.752	647.780	5.018	0	716	409	0.334	0.769	651.692	4.806	0
90	5	689	418	0.648	0.751	647.780	5.057	0	843	402	0.337	0.768	651.692	4.499	0
110	6	686	418	0.650	0.751	650.163	5.088	0	891	394	0.340	0.766	652.829	4.400	0
130	7	691	398	0.653	0.750	650.163	5.087	0	865	404	0.343	0.764	652.829	4.490	0
150	8	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
170	9	692	421	0.657	0.747	650.163	4.976	0	922	406	0.347	0.760	652.829	4.530	0
190	10	696	416	0.658	0.747	650.163	5.054	0	1037	357	0.348	0.759	652.829	4.317	0
210	11	698	406	0.658	0.747	652.552	5.031	0	1076	351	0.348	0.758	653.288	4.314	0
230	12	701	419	0.658	0.747	652.552	5.006	0	719	405	0.348	0.758	653.288	4.797	0
249	13	690	424	0.656	0.748	652.552	5.057	0	714	405	0.346	0.758	653.288	4.772	0
269	14	694	435	0.655	0.748	652.552	5.015	0	718	411	0.345	0.758	653.288	4.822	0
289	15	687	423	0.653	0.748	652.552	5.012	0	701	410	0.343	0.759	653.288	4.789	0
309	16	689	429	0.650	0.748	651.536	5.020	0	697	411	0.341	0.759	653.115	4.788	0
329	17	704	437	0.648	0.748	651.536	4.912	0	712	425	0.339	0.760	653.115	4.789	0
349	18	700	439	0.646	0.748	651.536	4.865	0	706	417	0.337	0.761	653.115	4.648	0
369	19	694	431	0.644	0.748	651.536	4.781	0	710	429	0.335	0.762	653.115	4.603	0
389	20	618	522	0.643	0.751	651.536	4.852	0	641	516	0.335	0.766	653.115	4.582	0
409	21	607	526	0.643	0.756	652.242	4.824	0	633	518	0.336	0.772	656.093	4.580	0
429	22	337	898	0.643	0.759	652.242	4.676	0	348	881	0.336	0.775	656.093	4.535	0
449	23	354	876	0.643	0.761	652.242	4.577	0	371	883	0.336	0.778	656.093	4.437	0
469	24	393	863	0.643	0.763	652.242	4.574	0	367	863	0.337	0.781	656.093	4.371	0
489	25	383	858	0.644	0.765	652.242	4.495	0	371	856	0.338	0.783	656.093	4.316	0
509	26	408	854	0.645	0.766	651.127	4.459	0	369	848	0.339	0.784	657.460	4.270	0
528	27	379	876	0.646	0.767	651.127	4.414	0	336	852	0.341	0.785	657.460	4.335	0
548	28	385	853	0.648	0.767	651.127	4.392	0	358	856	0.343	0.785	657.460	4.327	0
568	29	369	870	0.650	0.767	651.127	4.334	0	380	852	0.345	0.784	657.460	4.311	0
588	30	385	862	0.652	0.766	651.127	4.385	0	352	855	0.347	0.783	657.460	4.326	0
608	31	374	845	0.653	0.763	661.273	4.429	0	353	851	0.349	0.780	661.436	4.346	0
628	32	470	572	0.653	0.758	661.273	4.428	0	449	571	0.351	0.776	661.436	4.247	0
648	33	482	487	0.654	0.756	661.273	4.436	0	462	508	0.352	0.774	661.436	4.373	0
668	34	484	527	0.655	0.755	661.273	4.356	0	473	544	0.353	0.773	661.436	4.387	0
688	35	475	540	0.657	0.754	661.273	4.413	0	476	518	0.354	0.772	661.436	4.425	0
708	36	481	501	0.658	0.754	663.289	4.409	0	478	527	0.355	0.772	665.023	4.470	0
728	37	467	530	0.658	0.755	663.289	4.541	0	478	540	0.356	0.773	665.023	4.433	0
748	38	479	540	0.659	0.756	663.289	4.571	0	461	531	0.357	0.774	665.023	4.427	0
768	39	468	529	0.659	0.757	663.289	4.606	0	464	541	0.357	0.775	665.023	4.472	0
788	40	480	530	0.658	0.758	663.289	4.549	0	471	550	0.356	0.775	665.023	4.549	0
808	41	476	530	0.658	0.758	665.527	4.589	0	464	547	0.356	0.775	665.895	4.573	0
828	42	351	516	0.658	0.758	665.527	4.784	0	351	508	0.356	0.774	665.895	4.635	0
847	43	345	492	0.657	0.758	665.527	4.811	0	356	522	0.355	0.773	665.895	4.623	0
867	44	341	496	0.656	0.757	665.527	4.808	0	342	513	0.354	0.771	665.895	4.679	0
887	45	343	519	0.654	0.756	665.527	4.803	0	359	510	0.353	0.769	665.895	4.701	0
907	46	341	505	0.653	0.754	667.215	4.811	0	356	513	0.352	0.766	667.104	4.724	0
927	47	357	512	0.651	0.752	667.215	4.947	0	360	505	0.350	0.763	667.104	4.792	0
947	48	340	487	0.650	0.751	667.215	4.959	0	353	525	0.349	0.761	667.104	4.904	0
967	49	339	500	0.648	0.750	667.215	4.993	0	361	502	0.347	0.760	667.104	4.813	0
987	50	312	507	0.647	0.749	667.215	5.047	0	323	520	0.346	0.759	667.104	4.869	0
1007	51	302	495	0.646	0.749	668.064	5.076	0	320	511	0.345	0.759	667.026	4.826	0
1027	52	270	507	0.645	0.749	668.064	5.121	0	303	514	0.344	0.759	667.026	4.930	0
