Data properties:
 
Recording date: 21/07/2015
Recording time : 12:46:02:156 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: AnaesExpert001
Recording: AnaesExpert001video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
11	1	-1280	-1024	0.654	0.644	-1.000	-1.000	4	-1280	-1024	0.346	0.671	-1.000	-1.000	4
31	2	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
50	3	735	388	0.651	0.644	633.428	3.842	0	758	374	0.343	0.671	632.931	3.588	0
70	4	749	376	0.650	0.644	633.428	3.838	0	753	379	0.342	0.671	632.931	3.641	0
90	5	744	400	0.649	0.644	633.428	3.929	0	751	375	0.342	0.672	632.931	3.622	0
110	6	751	407	0.649	0.646	629.963	3.936	0	748	373	0.342	0.673	634.865	3.662	0
130	7	739	415	0.650	0.647	629.963	3.919	0	757	371	0.342	0.674	634.865	3.678	0
150	8	756	422	0.650	0.649	629.963	3.978	0	752	380	0.343	0.675	634.865	3.673	0
170	9	743	415	0.651	0.651	629.963	3.928	0	756	386	0.344	0.677	634.865	3.693	0
190	10	752	419	0.650	0.653	629.963	3.984	0	740	393	0.343	0.678	634.865	3.715	0
210	11	749	400	0.649	0.655	640.051	4.031	0	739	394	0.343	0.680	637.283	3.734	0
230	12	745	388	0.648	0.656	640.051	3.946	0	750	381	0.341	0.681	637.283	3.701	0
250	13	748	412	0.646	0.656	640.051	4.038	0	760	373	0.339	0.682	637.283	3.723	0
270	14	746	401	0.644	0.657	640.051	4.035	0	752	396	0.337	0.683	637.283	3.708	0
290	15	747	393	0.641	0.656	640.051	3.975	0	757	368	0.334	0.683	637.283	3.733	0
310	16	749	400	0.638	0.656	641.534	4.032	0	760	372	0.331	0.683	638.122	3.737	0
329	17	751	421	0.635	0.655	641.534	3.993	0	758	354	0.328	0.683	638.122	3.666	0
349	18	741	382	0.631	0.654	641.534	3.930	0	762	380	0.325	0.683	638.122	3.659	0
369	19	748	407	0.628	0.653	641.534	3.988	0	763	368	0.322	0.683	638.122	3.563	0
389	20	746	389	0.625	0.652	641.534	3.889	0	760	378	0.320	0.682	638.122	3.579	0
409	21	746	394	0.623	0.651	644.230	3.910	0	763	368	0.318	0.681	640.279	3.606	0
429	22	747	392	0.622	0.649	644.230	3.889	0	756	376	0.317	0.680	640.279	3.510	0
449	23	755	391	0.622	0.648	644.230	3.815	0	754	378	0.316	0.679	640.279	3.517	0
469	24	744	385	0.621	0.647	644.230	3.769	0	765	365	0.316	0.678	640.279	3.487	0
489	25	732	371	0.622	0.646	644.230	3.804	0	771	372	0.316	0.677	640.279	3.457	0
509	26	732	374	0.622	0.645	640.888	3.766	0	770	380	0.316	0.676	635.675	3.424	0
529	27	751	394	0.623	0.645	638.520	3.723	0	748	401	0.317	0.675	635.675	3.472	0
549	28	739	402	0.624	0.644	637.312	3.742	0	760	382	0.317	0.675	635.675	3.460	0
569	29	740	375	0.625	0.644	634.768	3.690	0	751	384	0.318	0.674	635.675	3.445	0
589	30	746	383	0.627	0.643	634.758	3.685	0	753	357	0.319	0.672	635.675	3.486	0
609	31	740	376	0.628	0.642	634.529	3.678	0	751	351	0.321	0.671	634.735	3.473	0
628	32	580	481	0.631	0.643	634.124	3.866	0	593	408	0.324	0.671	634.735	3.554	0
648	33	461	526	0.634	0.644	634.526	3.745	0	461	501	0.328	0.670	634.735	3.494	0
668	34	472	530	0.636	0.644	634.818	3.774	0	477	483	0.329	0.670	634.735	3.538	0
688	35	457	511	0.637	0.644	634.827	3.804	0	471	490	0.330	0.669	634.735	3.491	0
