Data properties:
 
Recording date: 21/07/2015
Recording time : 15:28:51:781 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: AnaesExpert009
Recording: AnaesExpert009 Video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
16	1	-1280	-1024	0.606	0.713	-1.000	-1.000	4	-1280	-1024	0.348	0.732	-1.000	-1.000	4
36	2	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
56	3	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
76	4	704	548	0.606	0.713	640.803	3.047	0	693	554	0.348	0.731	643.058	3.345	0
96	5	701	524	0.606	0.713	640.803	3.087	0	699	528	0.348	0.732	643.058	3.253	0
116	6	701	525	0.606	0.713	640.546	3.086	0	700	527	0.348	0.732	643.417	3.255	0
136	7	698	538	0.606	0.713	640.546	3.042	0	694	550	0.348	0.732	643.417	3.359	0
156	8	703	519	0.605	0.713	640.546	3.034	0	690	519	0.348	0.732	643.417	3.337	0
176	9	698	524	0.606	0.713	640.546	3.097	0	685	544	0.348	0.732	643.417	3.305	0
196	10	668	531	0.606	0.713	640.546	3.102	0	666	563	0.348	0.732	643.417	3.406	0
216	11	666	520	0.607	0.712	641.797	3.114	0	660	557	0.349	0.731	642.341	3.386	0
236	12	599	465	0.607	0.712	641.797	3.108	0	584	460	0.349	0.731	642.341	3.353	0
255	13	582	456	0.607	0.712	641.797	3.063	0	574	462	0.350	0.731	642.341	3.376	0
275	14	579	461	0.608	0.712	641.797	3.128	0	590	473	0.350	0.731	642.341	3.363	0
295	15	591	474	0.608	0.712	641.797	3.095	0	571	442	0.350	0.731	642.341	3.370	0
315	16	580	468	0.608	0.712	643.545	3.095	0	574	442	0.351	0.731	643.292	3.369	0
335	17	588	470	0.609	0.713	643.545	2.987	0	578	466	0.351	0.731	643.292	3.266	0
355	18	575	451	0.609	0.713	643.545	2.888	0	568	474	0.351	0.731	643.292	3.192	0
375	19	577	456	0.609	0.713	643.545	2.880	0	592	455	0.352	0.731	643.292	3.181	0
395	20	585	434	0.610	0.713	643.545	2.920	0	569	478	0.352	0.731	643.292	3.095	0
415	21	579	429	0.610	0.713	643.690	2.929	0	578	473	0.352	0.731	643.262	3.058	0
435	22	595	450	0.610	0.713	643.690	2.862	0	594	476	0.352	0.731	643.262	3.033	0
455	23	590	442	0.610	0.713	643.690	2.729	0	578	448	0.353	0.731	643.262	3.013	0
475	24	587	452	0.611	0.714	643.690	2.758	0	589	456	0.353	0.731	643.262	3.011	0
495	25	594	458	0.611	0.714	643.690	2.710	0	579	453	0.353	0.731	643.262	2.988	0
515	26	590	455	0.612	0.714	644.809	2.717	0	583	453	0.354	0.732	644.956	2.987	0
534	27	377	493	0.614	0.715	644.809	2.703	0	365	488	0.356	0.732	644.956	2.918	0
554	28	345	494	0.614	0.715	644.809	2.628	0	328	480	0.357	0.732	644.956	2.890	0
574	29	334	485	0.615	0.715	644.809	2.655	0	339	479	0.357	0.732	644.956	2.915	0
594	30	350	497	0.615	0.716	644.809	2.641	0	337	468	0.358	0.733	644.956	2.881	0
614	31	347	491	0.615	0.716	646.556	2.662	0	340	463	0.358	0.733	644.663	2.886	0
634	32	350	502	0.616	0.717	646.556	2.650	0	346	484	0.359	0.733	644.663	2.866	0
654	33	348	500	0.616	0.717	646.556	2.617	0	341	484	0.359	0.733	644.663	2.872	0
674	34	340	488	0.616	0.717	646.556	2.594	0	326	485	0.359	0.733	644.663	2.878	0
694	35	351	469	0.616	0.718	646.556	2.680	0	322	509	0.359	0.733	644.663	2.857	0
714	36	349	461	0.616	0.718	646.903	2.662	0	321	511	0.359	0.733	645.221	2.863	0
734	37	257	468	0.617	0.719	646.903	2.747	0	260	496	0.360	0.732	645.221	2.960	0
754	38	246	479	0.617	0.719	646.903	2.733	0	254	488	0.360	0.732	645.221	2.942	0
774	39	253	469	0.617	0.719	646.903	2.776	0	247	453	0.360	0.732	645.221	3.008	0
794	40	238	473	0.616	0.720	646.903	2.740	0	259	498	0.360	0.732	645.221	3.000	0
814	41	234	473	0.616	0.720	648.523	2.749	0	255	483	0.360	0.731	646.527	2.999	0
833	42	257	491	0.615	0.720	648.523	2.791	0	249	471	0.359	0.731	646.527	3.015	0
853	43	456	479	0.612	0.720	648.523	2.932	0	441	467	0.356	0.731	646.527	3.124	0
873	44	589	479	0.609	0.719	648.523	2.938	0	584	462	0.353	0.731	646.527	3.152	0
893	45	605	470	0.607	0.719	648.523	2.926	0	585	457	0.352	0.730	646.527	3.147	0
913	46	622	468	0.606	0.719	647.995	2.923	0	587	450	0.350	0.730	647.531	3.146	0
