Data properties:
 
Recording date: 24/07/2015
Recording time : 14:12:40:140 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: Lay004
Recording: Lay004Video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
2	1	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
22	2	711	416	0.757	0.738	708.925	5.387	0	746	446	0.480	0.769	714.394	5.326	0
42	3	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
62	4	-1280	-1024	0.757	0.739	-1.000	-1.000	4	-1280	-1024	0.479	0.769	-1.000	-1.000	4
81	5	702	395	0.757	0.739	704.131	5.386	0	738	432	0.479	0.769	709.845	5.361	0
101	6	703	371	0.757	0.739	710.043	5.432	0	740	415	0.479	0.770	714.631	5.406	0
121	7	724	392	0.757	0.739	710.043	5.483	0	736	424	0.479	0.770	714.631	5.341	0
141	8	720	406	0.758	0.739	710.043	5.459	0	749	430	0.480	0.770	714.631	5.365	0
161	9	718	390	0.758	0.739	710.043	5.508	0	752	450	0.480	0.770	714.631	5.367	0
181	10	725	388	0.758	0.739	710.043	5.446	0	743	434	0.480	0.770	714.631	5.398	0
201	11	724	387	0.758	0.739	711.273	5.467	0	750	443	0.480	0.770	713.883	5.404	0
221	12	719	385	0.758	0.739	711.273	5.506	0	745	428	0.481	0.770	713.883	5.337	0
241	13	724	387	0.759	0.739	711.273	5.521	0	751	432	0.481	0.770	713.883	5.326	0
261	14	707	410	0.759	0.739	711.273	5.436	0	753	438	0.481	0.770	713.883	5.349	0
281	15	712	412	0.759	0.739	711.273	5.437	0	751	437	0.481	0.770	713.883	5.263	0
301	16	708	416	0.760	0.740	710.096	5.430	0	751	432	0.482	0.770	715.352	5.268	0
321	17	715	414	0.760	0.740	710.096	5.196	0	766	433	0.482	0.770	715.352	5.087	0
341	18	720	413	0.760	0.740	710.096	5.122	0	741	432	0.482	0.770	715.352	4.998	0
361	19	706	419	0.760	0.740	710.096	5.060	0	755	424	0.483	0.770	715.352	4.916	0
380	20	723	394	0.761	0.740	710.096	4.984	0	741	460	0.483	0.770	715.352	4.904	0
400	21	718	395	0.761	0.740	709.659	4.914	0	745	459	0.483	0.770	715.455	4.894	0
420	22	720	395	0.761	0.740	709.659	4.824	0	754	409	0.484	0.770	715.455	4.709	0
440	23	726	397	0.762	0.739	709.659	4.775	0	745	395	0.484	0.770	715.455	4.685	0
460	24	716	408	0.762	0.739	709.659	4.693	0	749	419	0.484	0.769	715.455	4.596	0
480	25	728	379	0.762	0.739	709.659	4.626	0	743	400	0.484	0.769	715.455	4.517	0
500	26	725	386	0.762	0.739	707.927	4.553	0	745	403	0.484	0.769	718.957	4.487	0
520	27	750	377	0.762	0.739	707.927	4.542	0	747	405	0.484	0.769	718.957	4.454	0
540	28	729	398	0.762	0.739	707.927	4.557	0	753	388	0.485	0.769	718.957	4.425	0
560	29	604	462	0.764	0.740	707.927	4.552	0	635	457	0.487	0.770	718.957	4.471	0
580	30	465	528	0.764	0.741	707.927	4.558	0	487	566	0.488	0.770	718.957	4.502	0
600	31	400	560	0.765	0.741	710.658	4.574	0	443	608	0.488	0.770	706.734	4.428	0
620	32	516	501	0.765	0.741	710.658	4.476	0	520	526	0.488	0.770	707.185	4.320	0
640	33	513	482	0.765	0.741	710.658	4.461	0	516	517	0.488	0.771	707.705	4.314	0
660	34	511	502	0.765	0.741	710.658	4.511	0	528	551	0.487	0.771	707.827	4.412	0
679	35	503	506	0.765	0.741	710.658	4.558	0	506	535	0.487	0.771	708.400	4.364	0
699	36	500	502	0.764	0.741	710.106	4.567	0	501	502	0.487	0.770	729.712	4.514	0
719	37	423	495	0.766	0.741	710.106	4.513	0	449	517	0.488	0.771	729.712	4.544	0
739	38	217	478	0.767	0.741	710.106	4.565	0	236	490	0.490	0.771	729.712	4.549	0
759	39	203	473	0.766	0.741	710.106	4.564	0	191	496	0.490	0.771	729.712	4.618	0
779	40	246	482	0.766	0.741	710.106	4.581	0	214	480	0.490	0.771	729.712	4.631	0
799	41	253	485	0.766	0.740	708.223	4.574	0	221	521	0.490	0.771	708.134	4.510	0
819	42	242	487	0.766	0.740	708.223	4.619	0	256	512	0.489	0.771	709.042	4.542	0
839	43	241	493	0.766	0.740	708.223	4.619	0	265	528	0.489	0.770	708.012	4.582	0
859	44	238	483	0.766	0.740	708.223	4.692	0	271	533	0.489	0.770	706.440	4.619	0
879	45	240	490	0.766	0.740	708.223	4.671	0	256	546	0.489	0.770	707.155	4.653	0
899	46	238	489	0.766	0.740	709.440	4.701	0	245	495	0.490	0.769	739.164	4.887	0
919	47	257	506	0.766	0.740	709.440	4.784	0	259	473	0.489	0.771	739.164	4.943	0
939	48	332	501	0.765	0.740	709.440	4.828	0	330	466	0.489	0.771	739.164	4.982	0
959	49	359	494	0.766	0.741	709.440	4.873	0	356	475	0.489	0.771	739.164	5.046	0
978	50	355	490	0.766	0.741	709.440	4.877	0	349	492	0.489	0.771	739.164	5.019	0
998	51	352	482	0.766	0.741	711.256	4.894	0	350	526	0.489	0.771	719.900	4.925	0
1018	52	334	494	0.766	0.741	711.256	4.909	0	364	506	0.489	0.771	719.900	4.974	0
1038	53	358	485	0.766	0.741	711.256	4.968	0	353	524	0.489	0.771	719.900	4.977	0
1058	54	331	482	0.767	0.741	711.256	4.983	0	357	509	0.490	0.771	719.900	5.010	0
1078	55	336	486	0.767	0.741	711.256	5.027	0	359	523	0.490	0.771	719.900	5.075	0
1098	56	342	490	0.767	0.741	708.897	5.036	0	358	524	0.490	0.771	716.741	5.071	0
1118	57	348	492	0.766	0.741	708.897	5.068	0	376	535	0.489	0.771	716.741	5.095	0
1138	58	465	483	0.765	0.741	708.897	5.115	0	498	510	0.488	0.771	716.741	5.153	0
1158	59	493	491	0.764	0.741	708.897	5.116	0	557	508	0.488	0.771	716.741	5.180	0
