Data properties:
 
Recording date: 24/07/2015
Recording time : 14:34:53:031 (corresponds to time 0)
Study: EyeTrackingExperiment
Subject: Lay005
Recording: lay 005 video
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
10	1	681	364	0.752	0.680	629.528	3.319	0	698	360	0.458	0.707	640.423	3.316	0
30	2	680	361	0.752	0.680	630.551	3.325	0	697	374	0.458	0.707	634.454	3.286	0
50	3	-1280	-1024	0.458	0.708	-1.000	-1.000	4	664	392	0.458	0.708	634.454	3.342	0
70	4	455	569	0.754	0.682	630.551	3.347	0	441	517	0.462	0.709	634.454	3.319	0
90	5	412	589	0.755	0.683	630.551	3.395	0	437	575	0.462	0.709	634.454	3.356	0
110	6	419	564	0.756	0.683	630.551	3.418	0	419	586	0.462	0.709	634.454	3.342	0
130	7	423	567	0.756	0.684	631.822	3.448	0	409	592	0.462	0.709	638.133	3.358	0
150	8	418	565	0.757	0.684	631.822	3.361	0	424	573	0.463	0.709	638.133	3.345	0
170	9	403	558	0.758	0.684	631.822	3.438	0	410	572	0.463	0.709	638.133	3.354	0
190	10	427	593	0.758	0.685	631.822	3.485	0	414	604	0.464	0.709	638.133	3.386	0
209	11	427	600	0.759	0.685	631.822	3.480	0	413	581	0.464	0.709	638.133	3.396	0
229	12	427	604	0.759	0.686	633.539	3.486	0	411	591	0.465	0.709	636.928	3.401	0
249	13	424	598	0.760	0.686	633.539	3.538	0	421	584	0.465	0.709	636.928	3.370	0
269	14	419	578	0.760	0.686	633.539	3.441	0	412	580	0.465	0.709	636.928	3.422	0
289	15	596	572	0.758	0.686	633.539	3.482	0	600	547	0.464	0.710	636.928	3.401	0
309	16	607	548	0.757	0.686	633.539	3.442	0	626	546	0.463	0.710	636.928	3.322	0
329	17	625	534	0.757	0.686	635.142	3.464	0	653	547	0.463	0.710	635.360	3.331	0
349	18	635	525	0.757	0.686	635.142	3.329	0	626	559	0.463	0.710	635.360	3.260	0
369	19	623	514	0.757	0.686	635.142	3.325	0	610	541	0.462	0.710	635.360	3.241	0
389	20	659	475	0.757	0.686	635.142	3.225	0	612	567	0.462	0.709	635.360	3.187	0
409	21	626	524	0.757	0.686	635.142	3.274	0	616	574	0.462	0.709	635.360	3.174	0
429	22	637	520	0.757	0.686	628.560	3.210	0	619	571	0.462	0.709	636.112	3.164	0
449	23	627	542	0.757	0.686	628.560	3.273	0	609	555	0.462	0.709	636.112	3.175	0
469	24	633	493	0.757	0.686	628.560	3.193	0	618	561	0.462	0.709	636.112	3.190	0
488	25	641	554	0.757	0.686	628.560	3.250	0	631	561	0.462	0.710	636.112	3.135	0
508	26	631	547	0.756	0.686	628.560	3.272	0	629	540	0.462	0.710	636.112	3.189	0
528	27	637	533	0.756	0.686	631.684	3.262	0	627	542	0.462	0.710	635.754	3.169	0
548	28	634	542	0.756	0.686	631.684	3.294	0	637	538	0.462	0.710	635.754	3.228	0
568	29	634	557	0.756	0.685	631.684	3.290	0	624	557	0.461	0.710	635.754	3.230	0
588	30	522	480	0.757	0.685	631.684	3.343	0	528	525	0.462	0.710	635.754	3.245	0
608	31	393	500	0.758	0.684	631.684	3.389	0	381	511	0.464	0.709	635.754	3.289	0
628	32	343	478	0.758	0.684	634.284	3.422	0	328	510	0.464	0.709	635.553	3.298	0
648	33	400	484	0.758	0.684	634.284	3.478	0	393	480	0.464	0.709	635.553	3.313	0
668	34	402	478	0.758	0.684	634.284	3.492	0	393	483	0.464	0.709	635.553	3.357	0
688	35	389	475	0.758	0.684	634.284	3.563	0	388	501	0.464	0.709	635.553	3.404	0
708	36	406	491	0.759	0.684	634.284	3.512	0	395	487	0.464	0.709	635.553	3.454	0
728	37	402	489	0.759	0.684	633.637	3.539	0	393	498	0.464	0.709	633.523	3.489	0
